City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Amahai,ID,78.67,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
513,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
519,Inhambane,MZ,76.91,light rain,-23.865,35.3833,Oceano
520,Puntarenas,CR,81.79,broken clouds,9.9763,-84.8384,Hotel Don Robert
523,Kanniyakumari,IN,79.65,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
524,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
525,Sao Gabriel Da Cachoeira,BR,76.8,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
528,Thinadhoo,MV,82.35,overcast clouds,0.5333,72.9333,
533,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
534,Kailua,US,76.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
539,Tomatlan,MX,83.97,clear sky,19.9333,-105.25,El Salvial
541,Hambantota,LK,78.15,overcast clouds,6.1241,81.1185,Bungalow 63
542,Cuamba,MZ,87.01,overcast clouds,-14.8031,36.5372,Hotel Vision
548,Barra Patuca,HN,80.78,light rain,15.8,-84.2833,
552,Trelew,AR,86.02,broken clouds,-43.249,-65.3051,Hotel Touring Club
553,San Luis,AR,85.08,broken clouds,-33.295,-66.3356,Huarpes Hotel
555,Cam Ranh,VN,82.36,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
556,Goundi,TD,85.08,few clouds,9.3627,17.366,
559,Les Cayes,HT,83.57,few clouds,18.2,-73.75,Villa Orphee
569,Tamandare,BR,83.66,few clouds,-8.7597,-35.1047,Pousada 100 Passos
574,Pansoy,PH,78.21,broken clouds,13.1825,122.5989,
576,Madaoua,NE,87.93,clear sky,14.073,5.96,
579,Sao Jose Da Coroa Grande,BR,83.12,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
581,Poum,NC,76.12,broken clouds,-20.2333,164.0167,
582,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
589,Phalaborwa,ZA,88.3,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
594,Ahuimanu,US,76.71,few clouds,21.4447,-157.8378,Paradise Bay Resort
599,Tabora,TZ,78.39,overcast clouds,-5.0167,32.8,Barcelona Lodge
603,Maracas,BR,77.13,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
613,Kendari,ID,76.37,overcast clouds,-3.945,122.4989,Hotel Wixel
614,Puerto Rico,AR,88.77,scattered clouds,-26.796,-55.024,Hotel Cabañas del Prado
616,Tahoua,NE,87.17,clear sky,14.8888,5.2692,Bungalows Guesthouse
624,Barbacoas,CO,80.19,light rain,1.6715,-78.1398,edificio justin
625,Galiakot,IN,78.13,clear sky,23.5167,74.0,Alif Manzill
633,Puebloviejo,CO,79.48,light rain,10.9938,-74.2844,The Journey Hostel
634,Omboue,GA,77.94,light rain,-1.5746,9.2618,Hotel Olako
635,Odweyne,SO,78.49,broken clouds,9.4092,45.064,Eng Hiirey House
637,Camargo,MX,75.52,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
639,Bahia Blanca,AR,88.57,overcast clouds,-38.7196,-62.2724,Hotel Argos
646,Eyl,SO,79.39,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
647,Montepuez,MZ,78.51,broken clouds,-13.1256,38.9997,PembaAparthotel
649,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
661,Majene,ID,77.95,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
665,Sorong,ID,79.25,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
667,Ascension,US,82.08,clear sky,30.2169,-90.9001,Highland Inn
668,Garowe,SO,78.26,scattered clouds,8.4054,48.4845,Sacaada Hotel
669,Sarangani,PH,82.72,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
671,Luklukan,PH,78.33,broken clouds,14.3254,122.7124,Nipa Nipa Beach
674,Coahuayana,MX,85.53,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
681,Matara,LK,76.26,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
684,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
685,Angoche,MZ,80.67,scattered clouds,-16.2325,39.9086,Guest House HESADA
686,Kontagora,NG,85.78,scattered clouds,10.3999,5.4695,Queens Guest Inn
688,Turan,VN,76.98,scattered clouds,16.0678,108.2208,Grand Mercure Danang
689,Trincomalee,LK,77.97,overcast clouds,8.5711,81.2335,Welcombe Hotel
698,Sao Felix Do Xingu,BR,86.74,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
699,Tumaco,CO,79.14,overcast clouds,1.7986,-78.8156,Calle nueva creación
702,Linhares,BR,85.44,overcast clouds,-19.3911,-40.0722,Hotel Conceição
703,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
