City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Okha,RU,2022-11-09 03:08:21,53.5739,142.9478,33.04,68,62,12.93
266,Coihaique,CL,2022-11-09 03:03:22,-45.5752,-72.0662,54.21,71,0,2.3
267,Veraval,IN,2022-11-09 03:08:22,20.9,70.3667,77.76,56,31,9.8
268,Sao Joao Da Barra,BR,2022-11-09 03:05:10,-21.6403,-41.0511,70.65,81,100,7.61
269,Riyadh,SA,2022-11-09 03:08:22,24.6877,46.7219,66.34,29,0,5.19
270,Nokaneng,BW,2022-11-09 03:08:23,-19.6667,22.2667,71.94,40,0,6.93
271,Mbandaka,CD,2022-11-09 03:08:23,0.0487,18.2603,70.38,94,100,1.43
272,Venado Tuerto,AR,2022-11-09 03:09:23,-33.7456,-61.9688,65.77,32,99,14.14
273,Sakakah,SA,2022-11-09 03:06:49,29.9697,40.2064,61.11,41,100,1.88
274,Tamandare,BR,2022-11-09 03:09:24,-8.7597,-35.1047,76.03,84,3,4.14
275,Mehamn,NO,2022-11-09 03:09:24,71.0357,27.8492,33.71,93,75,6.91
276,Port Hedland,AU,2022-11-09 03:09:25,-20.3167,118.5667,86.05,42,0,13.8
277,Esna,EG,2022-11-09 03:09:25,25.2934,32.554,63.93,54,3,6.22
278,Izumo,JP,2022-11-09 03:07:47,35.3667,132.7667,64.98,42,0,3.15
279,Yerbogachen,RU,2022-11-09 03:07:02,61.2767,108.0108,16.83,90,100,10.56
280,Fukue,JP,2022-11-09 03:09:26,32.6881,128.8419,66.2,50,0,4.68
281,Sitrah,BH,2022-11-09 03:09:26,26.1547,50.6206,82.4,39,0,4.61
282,Temple,US,2022-11-09 03:08:36,31.0982,-97.3428,71.06,93,20,4.61
283,Aswan,EG,2022-11-09 03:09:27,24.0934,32.907,63.77,52,0,7.99
284,Mount Gambier,AU,2022-11-09 03:05:02,-37.8333,140.7667,81.77,40,79,12.62
285,Salamiyah,SY,2022-11-09 03:09:27,35.0113,37.0532,59.72,68,100,6.13
286,Orange Cove,US,2022-11-09 03:09:27,36.6244,-119.3137,51.6,92,94,10.36
287,Lavrentiya,RU,2022-11-09 03:09:28,65.5833,-171.0,24.31,93,100,5.61
288,Goderich,CA,2022-11-09 03:09:28,43.7501,-81.7165,38.91,51,18,17.07
289,Simi,SL,2022-11-09 03:09:29,9.5667,-12.35,72.1,96,54,1.81
290,Kenora,CA,2022-11-09 03:09:29,49.8167,-94.4337,35.78,100,100,11.99
291,Balabac,PH,2022-11-09 03:09:30,7.9868,117.0645,84.6,72,100,8.88
292,Ulagan,RU,2022-11-09 03:09:30,50.6321,87.9563,29.71,91,100,1.21
293,Marfino,RU,2022-11-09 03:09:30,55.7028,37.3822,44.94,89,75,8.95
294,Tyumentsevo,RU,2022-11-09 03:09:31,53.3224,81.498,28.45,93,100,6.08
